"Texte_Descriptif" "APE_Propose" "APE_DV2" "APE_DV3" "Verification" "Selection" "Nature_Activites" "CodeRetour_DV2" "CodeRetour_DV3"
"ACHAT REVENTE DE FLEURS SUR LES MARCHES" "4776Y" "4776Y" "6811Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"ACHAT REVENTE SUR INTERNET HABILLEMENT ACCESSOIRES ET CHAUSSURES" "4771Y" "6210Y" "6210Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"ACHAT VENTE DE PRODUITS ALIMENTAIRES" "4711G" "4711G" "4639Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"Achat/vente de vinyles d'occasion en ligne" "4779H" "4791Y" "4769Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"Activité d'élevage ovins en prairies. Seconde activité d'élevage équin (préparation et entraînement des équidés domestiques en vue de leur exploitation), secondaire." "0145Y" "0143Y" "0143Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"activité de conseil et métreur de construction, bâtiment" "7112Y" "7499Y" "7499Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"Activité de service en analyse de données et gestion de programme." "6310Y" "6220G" "6210Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"Apporteur d'affaires" "8299Y" "7499Y" "8240Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"AUTEUR" "9011Y" "9013Y" "6210Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"COACH POUR ANIMAUX DE COMPAGNIE" "9699G" "9699G" "9699H" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"CONSEIL EN CREATION GRAPHIQUE" "7412Y" "7412Y" "6220G" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"CONSEIL ET EVALUATION EN RAPPORT AVEC L'ACHAT, LA VENTE, LA LOCATION DE BIENS IMMOBILIERS POUR LE COMPTE DE TIERS" "6831Y" "6831Y" "7020Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"création de site internet sans programmation (design, ergonomie...)" "7412Y" "6210Y" "6210Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"ENERGETICIEN" "8696Y" "8696Y" "9699H" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"ENERGETICIENNE" "8696Y" "8696Y" "9699H" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"ENLEVEMENT ET LIVRAISON DE MARCHANDISES NON REGLEMENTE A VELO." "5320G" "5320G" "5320H" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"Etude faisabilité, réalisation de visuel, conseil en choix des matériaux, estimation des travaux lors d'une rénovation immobilière." "7112Y" "7499Y" "7499Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"GRAPHISME" "7412Y" "1813Y" "1813Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"GRAPHISTE MULTIMEDIA ET DIFFUSION PAR DES PROCEDES ET DES TECHNIQUES AUTRES QUE RELEVANT DE L'ARTISANAT" "7412Y" "7412Y" "9510Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
"Graphiste, conception de supports" "7412Y" "7311Y" "6210Y" "KO (selection=1): APE ProposÃ© != DV3" 1  "SUCCES_ECHO" "SUCCES_ECHO"
